name,type,value,date,,,,,,,,,,,,,,,
哈尔滨,哈,139,2004,,,,,,,,,,,,,,,
长春,沈,117,2004,,,,,,,,,,,,,,,
沈阳北,沈,158,2004,,,,,,,,,,,,,,,
沈阳,沈,145,2004,,,,,,,,,,,,,,,
北京,京,152,2004,,,,,,,,,,,,,,,
北京西,京,140,2004,,,,,,,,,,,,,,,
北京南,京,38,2004,,,,,,,,,,,,,,,
天津,京,136,2004,,,,,,,,,,,,,,,
石家庄,京,134,2004,,,,,,,,,,,,,,,
郑州,郑,216,2004,,,,,,,,,,,,,,,
郑州东,郑,0,2004,,,,,,,,,,,,,,,
汉口,武,102,2004,,,,,,,,,,,,,,,
武昌,武,136,2004,,,,,,,,,,,,,,,
武汉,武,0,2004,,,,,,,,,,,,,,,
西安,西,150,2004,,,,,,,,,,,,,,,
西安北,西,0,2004,,,,,,,,,,,,,,,
宝鸡,西,106,2004,,,,,,,,,,,,,,,
济南西,济,0,2004,,,,,,,,,,,,,,,
徐州,济,136,2004,,,,,,,,,,,,,,,
徐州东,上,0,2004,,,,,,,,,,,,,,,
合肥,上,60,2004,,,,,,,,,,,,,,,
合肥南,上,0,2004,,,,,,,,,,,,,,,
南京,上,159,2004,,,,,,,,,,,,,,,
南京南,上,0,2004,,,,,,,,,,,,,,,
镇江,上,106,2004,,,,,,,,,,,,,,,
常州,上,112,2004,,,,,,,,,,,,,,,
无锡,上,133,2004,,,,,,,,,,,,,,,
苏州,上,129,2004,,,,,,,,,,,,,,,
上海,上,188,2004,,,,,,,,,,,,,,,
上海南,上,0,2004,,,,,,,,,,,,,,,
上海虹桥,上,0,2004,,,,,,,,,,,,,,,
杭州,上,103,2004,,,,,,,,,,,,,,,
杭州东,上,58,2004,,,,,,,,,,,,,,,
义乌,上,95,2004,,,,,,,,,,,,,,,
金华,上,116,2004,,,,,,,,,,,,,,,
上饶,南,86,2004,,,,,,,,,,,,,,,
鹰潭,南,127,2004,,,,,,,,,,,,,,,
南昌,南,136,2004,,,,,,,,,,,,,,,
长沙,广,142,2004,,,,,,,,,,,,,,,
长沙南,广,0,2004,,,,,,,,,,,,,,,
株洲,广,160,2004,,,,,,,,,,,,,,,
衡阳,广,125,2004,,,,,,,,,,,,,,,
广州,广,173,2004,,,,,,,,,,,,,,,
广州东,广,182,2004,,,,,,,,,,,,,,,
广州南,广,0,2004,,,,,,,,,,,,,,,
东莞,广,95,2004,,,,,,,,,,,,,,,
深圳,广,166,2004,,,,,,,,,,,,,,,
深圳北,广,0,2004,,,,,,,,,,,,,,,
成都,成,98,2004,,,,,,,,,,,,,,,
成都东,成,0,2004,,,,,,,,,,,,,,,
哈尔滨,哈,149,2005,,,,,,,,,,,,,,,
长春,沈,120,2005,,,,,,,,,,,,,,,
沈阳北,沈,163,2005,,,,,,,,,,,,,,,
沈阳,沈,143,2005,,,,,,,,,,,,,,,
北京,京,156,2005,,,,,,,,,,,,,,,
北京西,京,146,2005,,,,,,,,,,,,,,,
北京南,京,36,2005,,,,,,,,,,,,,,,
天津,京,137,2005,,,,,,,,,,,,,,,
石家庄,京,138,2005,,,,,,,,,,,,,,,
郑州,郑,221,2005,,,,,,,,,,,,,,,
郑州东,郑,0,2005,,,,,,,,,,,,,,,
汉口,武,101,2005,,,,,,,,,,,,,,,
武昌,武,140,2005,,,,,,,,,,,,,,,
武汉,武,0,2005,,,,,,,,,,,,,,,
西安,西,155,2005,,,,,,,,,,,,,,,
西安北,西,0,2005,,,,,,,,,,,,,,,
宝鸡,西,108,2005,,,,,,,,,,,,,,,
济南西,济,0,2005,,,,,,,,,,,,,,,
徐州,济,141,2005,,,,,,,,,,,,,,,
徐州东,上,0,2005,,,,,,,,,,,,,,,
合肥,上,66,2005,,,,,,,,,,,,,,,
合肥南,上,0,2005,,,,,,,,,,,,,,,
南京,上,116,2005,,,,,,,,,,,,,,,
南京南,上,0,2005,,,,,,,,,,,,,,,
镇江,上,109,2005,,,,,,,,,,,,,,,
常州,上,122,2005,,,,,,,,,,,,,,,
无锡,上,143,2005,,,,,,,,,,,,,,,
苏州,上,141,2005,,,,,,,,,,,,,,,
上海,上,208,2005,,,,,,,,,,,,,,,
上海南,上,0,2005,,,,,,,,,,,,,,,
上海虹桥,上,0,2005,,,,,,,,,,,,,,,
杭州,上,100,2005,,,,,,,,,,,,,,,
杭州东,上,68,2005,,,,,,,,,,,,,,,
义乌,上,95,2005,,,,,,,,,,,,,,,
金华,上,115,2005,,,,,,,,,,,,,,,
上饶,南,80,2005,,,,,,,,,,,,,,,
鹰潭,南,123,2005,,,,,,,,,,,,,,,
南昌,南,132,2005,,,,,,,,,,,,,,,
长沙,广,141,2005,,,,,,,,,,,,,,,
长沙南,广,0,2005,,,,,,,,,,,,,,,
株洲,广,162,2005,,,,,,,,,,,,,,,
衡阳,广,130,2005,,,,,,,,,,,,,,,
广州,广,180,2005,,,,,,,,,,,,,,,
广州东,广,184,2005,,,,,,,,,,,,,,,
广州南,广,0,2005,,,,,,,,,,,,,,,
东莞,广,93,2005,,,,,,,,,,,,,,,
深圳,广,170,2005,,,,,,,,,,,,,,,
深圳北,广,0,2005,,,,,,,,,,,,,,,
成都,成,100,2005,,,,,,,,,,,,,,,
成都东,成,0,2005,,,,,,,,,,,,,,,
哈尔滨,哈,156,2006,,,,,,,,,,,,,,,
长春,沈,120,2006,,,,,,,,,,,,,,,
沈阳北,沈,161,2006,,,,,,,,,,,,,,,
沈阳,沈,135,2006,,,,,,,,,,,,,,,
北京,京,176,2006,,,,,,,,,,,,,,,
北京西,京,177,2006,,,,,,,,,,,,,,,
北京南,京,0,2006,,,,,,,,,,,,,,,
天津,京,124,2006,,,,,,,,,,,,,,,
石家庄,京,140,2006,,,,,,,,,,,,,,,
郑州,郑,230,2006,,,,,,,,,,,,,,,
郑州东,郑,0,2006,,,,,,,,,,,,,,,
汉口,武,102,2006,,,,,,,,,,,,,,,
武昌,武,95,2006,,,,,,,,,,,,,,,
武汉,武,0,2006,,,,,,,,,,,,,,,
西安,西,186,2006,,,,,,,,,,,,,,,
西安北,西,0,2006,,,,,,,,,,,,,,,
宝鸡,西,132,2006,,,,,,,,,,,,,,,
济南西,济,0,2006,,,,,,,,,,,,,,,
徐州,济,149,2006,,,,,,,,,,,,,,,
徐州东,上,0,2006,,,,,,,,,,,,,,,
合肥,上,71,2006,,,,,,,,,,,,,,,
合肥南,上,0,2006,,,,,,,,,,,,,,,
南京,上,176,2006,,,,,,,,,,,,,,,
南京南,上,0,2006,,,,,,,,,,,,,,,
镇江,上,113,2006,,,,,,,,,,,,,,,
常州,上,122,2006,,,,,,,,,,,,,,,
无锡,上,148,2006,,,,,,,,,,,,,,,
苏州,上,137,2006,,,,,,,,,,,,,,,
上海,上,169,2006,,,,,,,,,,,,,,,
上海南,上,65,2006,,,,,,,,,,,,,,,
上海虹桥,上,0,2006,,,,,,,,,,,,,,,
杭州,上,92,2006,,,,,,,,,,,,,,,
杭州东,上,83,2006,,,,,,,,,,,,,,,
义乌,上,96,2006,,,,,,,,,,,,,,,
金华,上,108,2006,,,,,,,,,,,,,,,
上饶,南,74,2006,,,,,,,,,,,,,,,
鹰潭,南,119,2006,,,,,,,,,,,,,,,
南昌,南,124,2006,,,,,,,,,,,,,,,
长沙,广,147,2006,,,,,,,,,,,,,,,
长沙南,广,0,2006,,,,,,,,,,,,,,,
株洲,广,160,2006,,,,,,,,,,,,,,,
衡阳,广,134,2006,,,,,,,,,,,,,,,
广州,广,185,2006,,,,,,,,,,,,,,,
广州东,广,165,2006,,,,,,,,,,,,,,,
广州南,广,0,2006,,,,,,,,,,,,,,,
东莞,广,81,2006,,,,,,,,,,,,,,,
深圳,广,162,2006,,,,,,,,,,,,,,,
深圳北,广,0,2006,,,,,,,,,,,,,,,
成都,成,114,2006,,,,,,,,,,,,,,,
成都东,成,0,2006,,,,,,,,,,,,,,,
哈尔滨,哈,171,2007,,,,,,,,,,,,,,,
长春,沈,126,2007,,,,,,,,,,,,,,,
沈阳北,沈,184,2007,,,,,,,,,,,,,,,
沈阳,沈,147,2007,,,,,,,,,,,,,,,
北京,京,198,2007,,,,,,,,,,,,,,,
北京西,京,210,2007,,,,,,,,,,,,,,,
北京南,京,0,2007,,,,,,,,,,,,,,,
天津,京,122,2007,,,,,,,,,,,,,,,
石家庄,京,162,2007,,,,,,,,,,,,,,,
郑州,郑,258,2007,,,,,,,,,,,,,,,
郑州东,郑,0,2007,,,,,,,,,,,,,,,
汉口,武,116,2007,,,,,,,,,,,,,,,
武昌,武,95,2007,,,,,,,,,,,,,,,
武汉,武,0,2007,,,,,,,,,,,,,,,
西安,西,188,2007,,,,,,,,,,,,,,,
西安北,西,0,2007,,,,,,,,,,,,,,,
宝鸡,西,114,2007,,,,,,,,,,,,,,,
济南西,济,0,2007,,,,,,,,,,,,,,,
徐州,济,165,2007,,,,,,,,,,,,,,,
徐州东,上,0,2007,,,,,,,,,,,,,,,
合肥,上,74,2007,,,,,,,,,,,,,,,
合肥南,上,0,2007,,,,,,,,,,,,,,,
南京,上,220,2007,,,,,,,,,,,,,,,
南京南,上,0,2007,,,,,,,,,,,,,,,
镇江,上,114,2007,,,,,,,,,,,,,,,
常州,上,135,2007,,,,,,,,,,,,,,,
无锡,上,158,2007,,,,,,,,,,,,,,,
苏州,上,141,2007,,,,,,,,,,,,,,,
上海,上,206,2007,,,,,,,,,,,,,,,
上海南,上,86,2007,,,,,,,,,,,,,,,
上海虹桥,上,0,2007,,,,,,,,,,,,,,,
杭州,上,105,2007,,,,,,,,,,,,,,,
杭州东,上,99,2007,,,,,,,,,,,,,,,
义乌,上,115,2007,,,,,,,,,,,,,,,
金华,上,135,2007,,,,,,,,,,,,,,,
上饶,南,95,2007,,,,,,,,,,,,,,,
鹰潭,南,148,2007,,,,,,,,,,,,,,,
南昌,南,160,2007,,,,,,,,,,,,,,,
长沙,广,153,2007,,,,,,,,,,,,,,,
长沙南,广,0,2007,,,,,,,,,,,,,,,
株洲,广,187,2007,,,,,,,,,,,,,,,
衡阳,广,142,2007,,,,,,,,,,,,,,,
广州,广,181,2007,,,,,,,,,,,,,,,
广州东,广,187,2007,,,,,,,,,,,,,,,
广州南,广,0,2007,,,,,,,,,,,,,,,
东莞,广,92,2007,,,,,,,,,,,,,,,
深圳,广,174,2007,,,,,,,,,,,,,,,
深圳北,广,0,2007,,,,,,,,,,,,,,,
成都,成,112,2007,,,,,,,,,,,,,,,
成都东,成,0,2007,,,,,,,,,,,,,,,
哈尔滨,哈,185,2008,,,,,,,,,,,,,,,
长春,沈,139,2008,,,,,,,,,,,,,,,
沈阳北,沈,200,2008,,,,,,,,,,,,,,,
沈阳,沈,155,2008,,,,,,,,,,,,,,,
北京,京,167,2008,,,,,,,,,,,,,,,
北京西,京,205,2008,,,,,,,,,,,,,,,
北京南,京,141,2008,,,,,,,,,,,,,,,
天津,京,240,2008,,,,,,,,,,,,,,,
石家庄,京,171,2008,,,,,,,,,,,,,,,
郑州,郑,265,2008,,,,,,,,,,,,,,,
郑州东,郑,0,2008,,,,,,,,,,,,,,,
汉口,武,61,2008,,,,,,,,,,,,,,,
武昌,武,163,2008,,,,,,,,,,,,,,,
武汉,武,0,2008,,,,,,,,,,,,,,,
西安,西,174,2008,,,,,,,,,,,,,,,
西安北,西,0,2008,,,,,,,,,,,,,,,
宝鸡,西,97,2008,,,,,,,,,,,,,,,
济南西,济,0,2008,,,,,,,,,,,,,,,
徐州,上,169,2008,,,,,,,,,,,,,,,
徐州东,上,0,2008,,,,,,,,,,,,,,,
合肥,上,92,2008,,,,,,,,,,,,,,,
合肥南,上,0,2008,,,,,,,,,,,,,,,
南京,上,233,2008,,,,,,,,,,,,,,,
南京南,上,0,2008,,,,,,,,,,,,,,,
镇江,上,121,2008,,,,,,,,,,,,,,,
常州,上,143,2008,,,,,,,,,,,,,,,
无锡,上,162,2008,,,,,,,,,,,,,,,
苏州,上,149,2008,,,,,,,,,,,,,,,
上海,上,195,2008,,,,,,,,,,,,,,,
上海南,上,116,2008,,,,,,,,,,,,,,,
上海虹桥,上,0,2008,,,,,,,,,,,,,,,
杭州,上,117,2008,,,,,,,,,,,,,,,
杭州东,上,94,2008,,,,,,,,,,,,,,,
义乌,上,121,2008,,,,,,,,,,,,,,,
金华,上,138,2008,,,,,,,,,,,,,,,
上饶,南,99,2008,,,,,,,,,,,,,,,
鹰潭,南,152,2008,,,,,,,,,,,,,,,
南昌,南,164,2008,,,,,,,,,,,,,,,
长沙,广,163,2008,,,,,,,,,,,,,,,
长沙南,广,0,2008,,,,,,,,,,,,,,,
株洲,广,199,2008,,,,,,,,,,,,,,,
衡阳,广,146,2008,,,,,,,,,,,,,,,
广州,广,185,2008,,,,,,,,,,,,,,,
广州东,广,219,2008,,,,,,,,,,,,,,,
